result_id,student_id,school_id,subject_id,window_id,window_sort,school_year,scaled_score,percentile_rank,benchmark_category,is_proficient,is_at_risk
R0000040,STU00007,S001,SUBJ_M,W1,1,2024-2025,577.0,28,On Watch,False,False
R0000041,STU00007,S001,SUBJ_M,W2,2,2024-2025,658.4,40,At/Above Benchmark,True,False
R0000042,STU00007,S001,SUBJ_M,W3,3,2024-2025,718.1,56,At/Above Benchmark,True,False
R0000043,STU00008,S001,SUBJ_R,W1,1,2024-2025,452.8,41,At/Above Benchmark,True,False
R0000044,STU00008,S001,SUBJ_R,W2,2,2024-2025,524.6,59,At/Above Benchmark,True,False
R0000045,STU00008,S001,SUBJ_R,W3,3,2024-2025,542.0,60,At/Above Benchmark,True,False
R0000046,STU00008,S001,SUBJ_M,W1,1,2024-2025,295.8,36,On Watch,False,False
R0000047,STU00008,S001,SUBJ_M,W2,2,2024-2025,322.6,33,On Watch,False,False
R0000048,STU00008,S001,SUBJ_M,W3,3,2024-2025,414.3,40,At/Above Benchmark,True,False
R0000049,STU00009,S001,SUBJ_R,W1,1,2024-2025,781.1,63,At/Above Benchmark,True,False
R0000050,STU00009,S001,SUBJ_R,W2,2,2024-2025,838.2,72,At/Above Benchmark,True,False
R0000051,STU00009,S001,SUBJ_R,W3,3,2024-2025,883.0,86,At/Above Benchmark,True,False
R0000052,STU00009,S001,SUBJ_M,W1,1,2024-2025,472.7,29,On Watch,False,False
R0000053,STU00009,S001,SUBJ_M,W2,2,2024-2025,547.6,42,At/Above Benchmark,True,False
R0000054,STU00009,S001,SUBJ_M,W3,3,2024-2025,552.9,40,At/Above Benchmark,True,False
R0000055,STU00010,S001,SUBJ_R,W1,1,2024-2025,598.7,38,On Watch,False,False
R0000056,STU00010,S001,SUBJ_R,W2,2,2024-2025,621.1,37,On Watch,False,False
R0000057,STU00010,S001,SUBJ_R,W3,3,2024-2025,638.0,53,At/Above Benchmark,True,False
R0000058,STU00010,S001,SUBJ_M,W1,1,2024-2025,490.9,28,On Watch,False,False
R0000059,STU00010,S001,SUBJ_M,W2,2,2024-2025,514.5,42,At/Above Benchmark,True,False
R0000060,STU00010,S001,SUBJ_M,W3,3,2024-2025,580.8,50,At/Above Benchmark,True,False
R0000061,STU00011,S001,SUBJ_R,W1,1,2024-2025,112.8,14,Intervention,False,True
R0000062,STU00011,S001,SUBJ_R,W2,2,2024-2025,152.6,24,Intervention,False,True
R0000063,STU00011,S001,SUBJ_R,W3,3,2024-2025,198.9,20,Intervention,False,True
R0000064,STU00011,S001,SUBJ_M,W1,1,2024-2025,393.7,68,At/Above Benchmark,True,False
R0000065,STU00011,S001,SUBJ_M,W2,2,2024-2025,356.9,50,At/Above Benchmark,True,False
R0000066,STU00011,S001,SUBJ_M,W3,3,2024-2025,290.6,37,On Watch,False,False
R0000067,STU00012,S001,SUBJ_R,W1,1,2024-2025,568.9,58,At/Above Benchmark,True,False
R0000068,STU00012,S001,SUBJ_R,W2,2,2024-2025,635.9,66,At/Above Benchmark,True,False
R0000069,STU00012,S001,SUBJ_R,W3,3,2024-2025,763.3,88,At/Above Benchmark,True,False
R0000070,STU00012,S001,SUBJ_M,W1,1,2024-2025,538.8,69,At/Above Benchmark,True,False
R0000071,STU00012,S001,SUBJ_M,W2,2,2024-2025,566.1,72,At/Above Benchmark,True,False
R0000072,STU00012,S001,SUBJ_M,W3,3,2024-2025,664.8,84,At/Above Benchmark,True,False
R0000073,STU00013,S001,SUBJ_R,W1,1,2024-2025,348.3,56,At/Above Benchmark,True,False
R0000074,STU00013,S001,SUBJ_R,W2,2,2024-2025,301.5,59,At/Above Benchmark,True,False
R0000075,STU00013,S001,SUBJ_R,W3,3,2024-2025,289.0,55,At/Above Benchmark,True,False
R0000076,STU00013,S001,SUBJ_M,W1,1,2024-2025,257.6,46,At/Above Benchmark,True,False
R0000077,STU00013,S001,SUBJ_M,W2,2,2024-2025,291.1,53,At/Above Benchmark,True,False
R0000078,STU00013,S001,SUBJ_M,W3,3,2024-2025,195.4,43,At/Above Benchmark,True,False
R0000079,STU00014,S001,SUBJ_R,W1,1,2024-2025,423.4,67,At/Above Benchmark,True,False
R0000080,STU00014,S001,SUBJ_R,W2,2,2024-2025,509.5,65,At/Above Benchmark,True,False
R0000081,STU00014,S001,SUBJ_R,W3,3,2024-2025,564.9,77,At/Above Benchmark,True,False
R0000082,STU00014,S001,SUBJ_M,W1,1,2024-2025,286.5,40,At/Above Benchmark,True,False
R0000083,STU00014,S001,SUBJ_M,W2,2,2024-2025,333.1,50,At/Above Benchmark,True,False
R0000084,STU00014,S001,SUBJ_M,W3,3,2024-2025,355.8,59,At/Above Benchmark,True,False
R0000085,STU00015,S001,SUBJ_R,W1,1,2024-2025,262.7,24,Intervention,False,True
R0000086,STU00015,S001,SUBJ_R,W2,2,2024-2025,349.0,40,At/Above Benchmark,True,False
R0000087,STU00015,S001,SUBJ_R,W3,3,2024-2025,403.6,46,At/Above Benchmark,True,False
R0000088,STU00015,S001,SUBJ_M,W1,1,2024-2025,455.5,45,At/Above Benchmark,True,False
R0000089,STU00015,S001,SUBJ_M,W2,2,2024-2025,475.6,55,At/Above Benchmark,True,False
R0000090,STU00015,S001,SUBJ_M,W3,3,2024-2025,489.9,61,At/Above Benchmark,True,False
R0000091,STU00016,S001,SUBJ_R,W1,1,2024-2025,491.7,39,On Watch,False,False
R0000092,STU00016,S001,SUBJ_R,W2,2,2024-2025,512.8,40,At/Above Benchmark,True,False
R0000093,STU00016,S001,SUBJ_R,W3,3,2024-2025,545.6,46,At/Above Benchmark,True,False
R0000094,STU00016,S001,SUBJ_M,W1,1,2024-2025,532.7,54,At/Above Benchmark,True,False
R0000095,STU00016,S001,SUBJ_M,W2,2,2024-2025,579.3,62,At/Above Benchmark,True,False
R0000096,STU00016,S001,SUBJ_M,W3,3,2024-2025,648.0,60,At/Above Benchmark,True,False
R0000097,STU00017,S001,SUBJ_R,W1,1,2024-2025,849.7,79,At/Above Benchmark,True,False
R0000098,STU00017,S001,SUBJ_R,W2,2,2024-2025,902.2,83,At/Above Benchmark,True,False
R0000099,STU00017,S001,SUBJ_R,W3,3,2024-2025,979.8,98,At/Above Benchmark,True,False
R0000100,STU00017,S001,SUBJ_M,W1,1,2024-2025,496.6,26,On Watch,False,False
R0000101,STU00017,S001,SUBJ_M,W2,2,2024-2025,466.1,27,On Watch,False,False
R0000102,STU00017,S001,SUBJ_M,W3,3,2024-2025,552.5,36,On Watch,False,False
R0000103,STU00018,S001,SUBJ_R,W1,1,2024-2025,152.4,1,Urgent Intervention,False,True
R0000104,STU00018,S001,SUBJ_R,W2,2,2024-2025,140.7,1,Urgent Intervention,False,True
R0000105,STU00018,S001,SUBJ_R,W3,3,2024-2025,86.9,1,Urgent Intervention,False,True
R0000106,STU00018,S001,SUBJ_M,W1,1,2024-2025,542.2,49,At/Above Benchmark,True,False
R0000107,STU00018,S001,SUBJ_M,W2,2,2024-2025,611.5,63,At/Above Benchmark,True,False
R0000108,STU00018,S001,SUBJ_M,W3,3,2024-2025,656.8,64,At/Above Benchmark,True,False
R0000109,STU00019,S001,SUBJ_R,W1,1,2024-2025,360.2,43,At/Above Benchmark,True,False
R0000110,STU00019,S001,SUBJ_R,W2,2,2024-2025,357.8,40,At/Above Benchmark,True,False
R0000111,STU00019,S001,SUBJ_R,W3,3,2024-2025,412.7,33,On Watch,False,False
R0000112,STU00019,S001,SUBJ_M,W1,1,2024-2025,286.9,28,On Watch,False,False
R0000113,STU00019,S001,SUBJ_M,W2,2,2024-2025,339.5,31,On Watch,False,False
R0000114,STU00019,S001,SUBJ_M,W3,3,2024-2025,403.6,46,At/Above Benchmark,True,False
R0000115,STU00020,S001,SUBJ_R,W1,1,2024-2025,498.9,16,Intervention,False,True
R0000116,STU00020,S001,SUBJ_R,W2,2,2024-2025,497.4,15,Intervention,False,True
R0000117,STU00020,S001,SUBJ_R,W3,3,2024-2025,548.0,24,Intervention,False,True
R0000118,STU00020,S001,SUBJ_M,W1,1,2024-2025,674.1,45,At/Above Benchmark,True,False
R0000119,STU00020,S001,SUBJ_M,W2,2,2024-2025,711.4,52,At/Above Benchmark,True,False
R0000120,STU00020,S001,SUBJ_M,W3,3,2024-2025,689.9,40,At/Above Benchmark,True,False
R0000121,STU00021,S001,SUBJ_R,W1,1,2024-2025,420.5,55,At/Above Benchmark,True,False
R0000122,STU00021,S001,SUBJ_R,W2,2,2024-2025,553.0,91,At/Above Benchmark,True,False
R0000123,STU00021,S001,SUBJ_R,W3,3,2024-2025,609.8,89,At/Above Benchmark,True,False
R0000124,STU00021,S001,SUBJ_M,W1,1,2024-2025,226.2,54,At/Above Benchmark,True,False
R0000125,STU00021,S001,SUBJ_M,W2,2,2024-2025,304.2,53,At/Above Benchmark,True,False
R0000126,STU00021,S001,SUBJ_M,W3,3,2024-2025,382.2,76,At/Above Benchmark,True,False
R0000127,STU00022,S001,SUBJ_R,W1,1,2024-2025,419.0,62,At/Above Benchmark,True,False
R0000128,STU00022,S001,SUBJ_R,W2,2,2024-2025,508.7,62,At/Above Benchmark,True,False
R0000129,STU00022,S001,SUBJ_R,W3,3,2024-2025,568.2,82,At/Above Benchmark,True,False
R0000130,STU00022,S001,SUBJ_M,W1,1,2024-2025,256.3,53,At/Above Benchmark,True,False
R0000131,STU00022,S001,SUBJ_M,W2,2,2024-2025,327.6,52,At/Above Benchmark,True,False
R0000132,STU00022,S001,SUBJ_M,W3,3,2024-2025,324.3,49,At/Above Benchmark,True,False
R0000133,STU00023,S001,SUBJ_R,W1,1,2024-2025,229.1,41,At/Above Benchmark,True,False
R0000134,STU00023,S001,SUBJ_R,W2,2,2024-2025,142.8,41,At/Above Benchmark,True,False
R0000135,STU00023,S001,SUBJ_R,W3,3,2024-2025,91.7,18,Intervention,False,True
R0000136,STU00023,S001,SUBJ_M,W1,1,2024-2025,129.5,31,On Watch,False,False
R0000137,STU00023,S001,SUBJ_M,W2,2,2024-2025,193.8,43,At/Above Benchmark,True,False
R0000138,STU00023,S001,SUBJ_M,W3,3,2024-2025,210.4,53,At/Above Benchmark,True,False
R0000139,STU00024,S001,SUBJ_R,W1,1,2024-2025,265.4,48,At/Above Benchmark,True,False
R0000140,STU00024,S001,SUBJ_R,W2,2,2024-2025,326.4,46,At/Above Benchmark,True,False
R0000141,STU00024,S001,SUBJ_R,W3,3,2024-2025,417.6,70,At/Above Benchmark,True,False
R0000142,STU00024,S001,SUBJ_M,W1,1,2024-2025,277.2,54,At/Above Benchmark,True,False
R0000143,STU00024,S001,SUBJ_M,W2,2,2024-2025,308.2,55,At/Above Benchmark,True,False
R0000144,STU00024,S001,SUBJ_M,W3,3,2024-2025,324.4,59,At/Above Benchmark,True,False
R0000145,STU00025,S001,SUBJ_R,W1,1,2024-2025,493.7,13,Intervention,False,True
R0000146,STU00025,S001,SUBJ_R,W2,2,2024-2025,574.9,25,On Watch,False,False
R0000147,STU00025,S001,SUBJ_R,W3,3,2024-2025,633.1,31,On Watch,False,False
R0000148,STU00025,S001,SUBJ_M,W1,1,2024-2025,681.0,33,On Watch,False,False
R0000149,STU00025,S001,SUBJ_M,W2,2,2024-2025,697.0,53,At/Above Benchmark,True,False
R0000150,STU00025,S001,SUBJ_M,W3,3,2024-2025,745.1,54,At/Above Benchmark,True,False
R0000151,STU00026,S001,SUBJ_R,W1,1,2024-2025,689.5,82,At/Above Benchmark,True,False
R0000152,STU00026,S001,SUBJ_R,W2,2,2024-2025,721.3,82,At/Above Benchmark,True,False
R0000153,STU00026,S001,SUBJ_R,W3,3,2024-2025,736.7,76,At/Above Benchmark,True,False
R0000154,STU00026,S001,SUBJ_M,W1,1,2024-2025,519.3,57,At/Above Benchmark,True,False
R0000155,STU00026,S001,SUBJ_M,W2,2,2024-2025,487.2,52,At/Above Benchmark,True,False
R0000156,STU00026,S001,SUBJ_M,W3,3,2024-2025,468.7,57,At/Above Benchmark,True,False
R0000157,STU00027,S001,SUBJ_R,W1,1,2024-2025,222.0,42,At/Above Benchmark,True,False
R0000158,STU00027,S001,SUBJ_R,W2,2,2024-2025,289.7,52,At/Above Benchmark,True,False
R0000159,STU00027,S001,SUBJ_R,W3,3,2024-2025,347.7,61,At/Above Benchmark,True,False
R0000160,STU00027,S001,SUBJ_M,W1,1,2024-2025,315.4,49,At/Above Benchmark,True,False
R0000161,STU00027,S001,SUBJ_M,W2,2,2024-2025,326.9,58,At/Above Benchmark,True,False
R0000162,STU00027,S001,SUBJ_M,W3,3,2024-2025,352.5,54,At/Above Benchmark,True,False
R0000163,STU00028,S001,SUBJ_R,W1,1,2024-2025,408.7,49,At/Above Benchmark,True,False
R0000164,STU00028,S001,SUBJ_R,W2,2,2024-2025,490.9,53,At/Above Benchmark,True,False
R0000165,STU00028,S001,SUBJ_R,W3,3,2024-2025,564.6,56,At/Above Benchmark,True,False
R0000166,STU00028,S001,SUBJ_M,W1,1,2024-2025,468.2,58,At/Above Benchmark,True,False
R0000167,STU00028,S001,SUBJ_M,W2,2,2024-2025,539.0,65,At/Above Benchmark,True,False
R0000168,STU00028,S001,SUBJ_M,W3,3,2024-2025,601.9,73,At/Above Benchmark,True,False
R0000169,STU00029,S001,SUBJ_R,W1,1,2024-2025,344.5,51,At/Above Benchmark,True,False
R0000170,STU00029,S001,SUBJ_R,W2,2,2024-2025,371.6,50,At/Above Benchmark,True,False
R0000171,STU00029,S001,SUBJ_R,W3,3,2024-2025,457.6,65,At/Above Benchmark,True,False
R0000172,STU00029,S001,SUBJ_M,W1,1,2024-2025,578.9,82,At/Above Benchmark,True,False
R0000173,STU00029,S001,SUBJ_M,W2,2,2024-2025,593.1,81,At/Above Benchmark,True,False
R0000174,STU00029,S001,SUBJ_M,W3,3,2024-2025,679.1,95,At/Above Benchmark,True,False
R0000175,STU00030,S001,SUBJ_R,W1,1,2024-2025,732.4,57,At/Above Benchmark,True,False
R0000176,STU00030,S001,SUBJ_R,W2,2,2024-2025,720.3,54,At/Above Benchmark,True,False
R0000177,STU00030,S001,SUBJ_R,W3,3,2024-2025,748.2,57,At/Above Benchmark,True,False
R0000178,STU00030,S001,SUBJ_M,W1,1,2024-2025,544.8,29,On Watch,False,False
R0000179,STU00030,S001,SUBJ_M,W2,2,2024-2025,582.0,43,At/Above Benchmark,True,False
R0000180,STU00030,S001,SUBJ_M,W3,3,2024-2025,668.2,49,At/Above Benchmark,True,False
R0000181,STU00031,S001,SUBJ_R,W1,1,2024-2025,655.8,61,At/Above Benchmark,True,False
R0000182,STU00031,S001,SUBJ_R,W2,2,2024-2025,627.2,55,At/Above Benchmark,True,False
R0000183,STU00031,S001,SUBJ_R,W3,3,2024-2025,591.8,59,At/Above Benchmark,True,False
R0000184,STU00031,S001,SUBJ_M,W1,1,2024-2025,602.7,54,At/Above Benchmark,True,False
R0000185,STU00031,S001,SUBJ_M,W2,2,2024-2025,693.8,73,At/Above Benchmark,True,False
R0000186,STU00031,S001,SUBJ_M,W3,3,2024-2025,783.4,92,At/Above Benchmark,True,False
R0000187,STU00032,S001,SUBJ_R,W1,1,2024-2025,583.7,37,On Watch,False,False
R0000188,STU00032,S001,SUBJ_R,W2,2,2024-2025,614.4,34,On Watch,False,False
R0000189,STU00032,S001,SUBJ_R,W3,3,2024-2025,657.9,50,At/Above Benchmark,True,False
R0000190,STU00032,S001,SUBJ_M,W1,1,2024-2025,612.4,49,At/Above Benchmark,True,False
R0000191,STU00032,S001,SUBJ_M,W2,2,2024-2025,659.1,56,At/Above Benchmark,True,False
R0000192,STU00032,S001,SUBJ_M,W3,3,2024-2025,647.3,54,At/Above Benchmark,True,False
R0000193,STU00033,S001,SUBJ_R,W1,1,2024-2025,587.6,81,At/Above Benchmark,True,False
R0000194,STU00033,S001,SUBJ_R,W2,2,2024-2025,628.3,89,At/Above Benchmark,True,False
R0000195,STU00033,S001,SUBJ_R,W3,3,2024-2025,598.4,83,At/Above Benchmark,True,False
R0000196,STU00033,S001,SUBJ_M,W1,1,2024-2025,346.9,54,At/Above Benchmark,True,False
R0000197,STU00033,S001,SUBJ_M,W2,2,2024-2025,296.9,42,At/Above Benchmark,True,False
R0000198,STU00033,S001,SUBJ_M,W3,3,2024-2025,420.7,60,At/Above Benchmark,True,False
R0000199,STU00034,S001,SUBJ_R,W1,1,2024-2025,844.7,55,At/Above Benchmark,True,False
R0000200,STU00034,S001,SUBJ_R,W2,2,2024-2025,879.8,64,At/Above Benchmark,True,False
R0000201,STU00034,S001,SUBJ_R,W3,3,2024-2025,927.6,79,At/Above Benchmark,True,False
R0000202,STU00034,S001,SUBJ_M,W1,1,2024-2025,740.6,63,At/Above Benchmark,True,False
R0000203,STU00034,S001,SUBJ_M,W2,2,2024-2025,733.6,43,At/Above Benchmark,True,False
R0000204,STU00034,S001,SUBJ_M,W3,3,2024-2025,841.6,66,At/Above Benchmark,True,False
R0000205,STU00035,S001,SUBJ_R,W1,1,2024-2025,598.6,21,Intervention,False,True
R0000206,STU00035,S001,SUBJ_R,W2,2,2024-2025,551.7,15,Intervention,False,True
R0000207,STU00035,S001,SUBJ_R,W3,3,2024-2025,646.5,37,On Watch,False,False
R0000208,STU00035,S001,SUBJ_M,W1,1,2024-2025,695.0,41,At/Above Benchmark,True,False
R0000209,STU00035,S001,SUBJ_M,W2,2,2024-2025,758.0,54,At/Above Benchmark,True,False
R0000210,STU00035,S001,SUBJ_M,W3,3,2024-2025,793.3,60,At/Above Benchmark,True,False
R0000211,STU00036,S001,SUBJ_R,W1,1,2024-2025,779.7,72,At/Above Benchmark,True,False
R0000212,STU00036,S001,SUBJ_R,W2,2,2024-2025,780.7,70,At/Above Benchmark,True,False
R0000213,STU00036,S001,SUBJ_R,W3,3,2024-2025,782.0,66,At/Above Benchmark,True,False
R0000214,STU00036,S001,SUBJ_M,W1,1,2024-2025,578.2,40,At/Above Benchmark,True,False
R0000215,STU00036,S001,SUBJ_M,W2,2,2024-2025,594.5,43,At/Above Benchmark,True,False
R0000216,STU00036,S001,SUBJ_M,W3,3,2024-2025,480.0,31,On Watch,False,False
R0000217,STU00037,S001,SUBJ_R,W1,1,2024-2025,50.1,23,Intervention,False,True
R0000218,STU00037,S001,SUBJ_R,W2,2,2024-2025,131.3,36,On Watch,False,False
R0000219,STU00037,S001,SUBJ_R,W3,3,2024-2025,144.2,38,On Watch,False,False
R0000220,STU00037,S001,SUBJ_M,W1,1,2024-2025,198.6,42,At/Above Benchmark,True,False
R0000221,STU00037,S001,SUBJ_M,W2,2,2024-2025,218.4,55,At/Above Benchmark,True,False
R0000222,STU00037,S001,SUBJ_M,W3,3,2024-2025,286.8,64,At/Above Benchmark,True,False
R0000223,STU00038,S001,SUBJ_R,W1,1,2024-2025,206.2,25,On Watch,False,False
R0000224,STU00038,S001,SUBJ_R,W2,2,2024-2025,317.7,36,On Watch,False,False
R0000225,STU00038,S001,SUBJ_R,W3,3,2024-2025,362.3,46,At/Above Benchmark,True,False
R0000226,STU00038,S001,SUBJ_M,W1,1,2024-2025,247.1,37,On Watch,False,False
R0000227,STU00038,S001,SUBJ_M,W2,2,2024-2025,245.7,36,On Watch,False,False
R0000228,STU00038,S001,SUBJ_M,W3,3,2024-2025,253.3,43,At/Above Benchmark,True,False
R0000229,STU00039,S001,SUBJ_R,W1,1,2024-2025,451.2,55,At/Above Benchmark,True,False
R0000230,STU00039,S001,SUBJ_R,W2,2,2024-2025,463.6,60,At/Above Benchmark,True,False
R0000231,STU00039,S001,SUBJ_R,W3,3,2024-2025,370.0,43,At/Above Benchmark,True,False
R0000232,STU00039,S001,SUBJ_M,W1,1,2024-2025,198.6,36,On Watch,False,False
R0000233,STU00039,S001,SUBJ_M,W2,2,2024-2025,334.5,58,At/Above Benchmark,True,False
R0000234,STU00039,S001,SUBJ_M,W3,3,2024-2025,358.9,56,At/Above Benchmark,True,False
R0000235,STU00040,S001,SUBJ_R,W1,1,2024-2025,681.6,52,At/Above Benchmark,True,False
R0000236,STU00040,S001,SUBJ_R,W2,2,2024-2025,682.2,59,At/Above Benchmark,True,False
R0000237,STU00040,S001,SUBJ_R,W3,3,2024-2025,658.3,48,At/Above Benchmark,True,False
R0000238,STU00040,S001,SUBJ_M,W1,1,2024-2025,713.5,64,At/Above Benchmark,True,False
R0000239,STU00040,S001,SUBJ_M,W2,2,2024-2025,792.5,66,At/Above Benchmark,True,False
R0000240,STU00040,S001,SUBJ_M,W3,3,2024-2025,828.5,78,At/Above Benchmark,True,False
R0000241,STU00041,S001,SUBJ_R,W1,1,2024-2025,773.6,54,At/Above Benchmark,True,False
R0000242,STU00041,S001,SUBJ_R,W2,2,2024-2025,777.0,48,At/Above Benchmark,True,False
R0000243,STU00041,S001,SUBJ_R,W3,3,2024-2025,796.0,59,At/Above Benchmark,True,False
R0000244,STU00041,S001,SUBJ_M,W1,1,2024-2025,752.9,53,At/Above Benchmark,True,False
R0000245,STU00041,S001,SUBJ_M,W2,2,2024-2025,794.0,61,At/Above Benchmark,True,False
R0000246,STU00041,S001,SUBJ_M,W3,3,2024-2025,796.3,54,At/Above Benchmark,True,False
R0000247,STU00042,S001,SUBJ_R,W1,1,2024-2025,368.6,41,At/Above Benchmark,True,False
R0000248,STU00042,S001,SUBJ_R,W2,2,2024-2025,385.0,33,On Watch,False,False
R0000249,STU00042,S001,SUBJ_R,W3,3,2024-2025,406.7,43,At/Above Benchmark,True,False
R0000250,STU00042,S001,SUBJ_M,W1,1,2024-2025,622.9,83,At/Above Benchmark,True,False
R0000251,STU00042,S001,SUBJ_M,W2,2,2024-2025,617.0,76,At/Above Benchmark,True,False
R0000252,STU00042,S001,SUBJ_M,W3,3,2024-2025,656.2,84,At/Above Benchmark,True,False
R0000253,STU00043,S001,SUBJ_R,W1,1,2024-2025,626.6,48,At/Above Benchmark,True,False
R0000254,STU00043,S001,SUBJ_R,W2,2,2024-2025,580.6,55,At/Above Benchmark,True,False
R0000255,STU00043,S001,SUBJ_R,W3,3,2024-2025,563.1,31,On Watch,False,False
R0000256,STU00043,S001,SUBJ_M,W1,1,2024-2025,554.5,40,At/Above Benchmark,True,False
R0000257,STU00043,S001,SUBJ_M,W2,2,2024-2025,576.7,40,At/Above Benchmark,True,False
R0000258,STU00043,S001,SUBJ_M,W3,3,2024-2025,501.7,27,On Watch,False,False
R0000259,STU00044,S001,SUBJ_R,W1,1,2024-2025,792.7,51,At/Above Benchmark,True,False
R0000260,STU00044,S001,SUBJ_R,W2,2,2024-2025,780.8,48,At/Above Benchmark,True,False
R0000261,STU00044,S001,SUBJ_R,W3,3,2024-2025,820.7,61,At/Above Benchmark,True,False
R0000262,STU00044,S001,SUBJ_M,W1,1,2024-2025,894.4,86,At/Above Benchmark,True,False
R0000263,STU00044,S001,SUBJ_M,W2,2,2024-2025,890.7,75,At/Above Benchmark,True,False
R0000264,STU00044,S001,SUBJ_M,W3,3,2024-2025,887.5,75,At/Above Benchmark,True,False
R0000265,STU00045,S001,SUBJ_R,W1,1,2024-2025,622.7,69,At/Above Benchmark,True,False
R0000266,STU00045,S001,SUBJ_R,W2,2,2024-2025,633.1,74,At/Above Benchmark,True,False
R0000267,STU00045,S001,SUBJ_R,W3,3,2024-2025,581.0,72,At/Above Benchmark,True,False
R0000268,STU00045,S001,SUBJ_M,W1,1,2024-2025,453.0,55,At/Above Benchmark,True,False
R0000269,STU00045,S001,SUBJ_M,W2,2,2024-2025,545.8,54,At/Above Benchmark,True,False
R0000270,STU00045,S001,SUBJ_M,W3,3,2024-2025,570.9,73,At/Above Benchmark,True,False
R0000271,STU00046,S001,SUBJ_R,W1,1,2024-2025,637.0,63,At/Above Benchmark,True,False
R0000272,STU00046,S001,SUBJ_R,W2,2,2024-2025,678.0,62,At/Above Benchmark,True,False
