result_id,student_id,subject_id,window_id,school_year,scaled_score,percentile_rank,benchmark_category
R0000028,STU00005,SUBJ_M,W1,2024-2025,408.7,79,At/Above Benchmark
R0000029,STU00005,SUBJ_M,W2,2024-2025,392.2,66,At/Above Benchmark
R0000030,STU00005,SUBJ_M,W3,2024-2025,440.6,76,At/Above Benchmark
R0000031,STU00006,SUBJ_R,W1,2024-2025,788.0,50,At/Above Benchmark
R0000032,STU00006,SUBJ_R,W2,2024-2025,826.4,57,At/Above Benchmark
R0000033,STU00006,SUBJ_R,W3,2024-2025,905.3,71,At/Above Benchmark
R0000034,STU00006,SUBJ_M,W1,2024-2025,619.2,38,On Watch
R0000035,STU00006,SUBJ_M,W2,2024-2025,655.9,44,At/Above Benchmark
R0000036,STU00006,SUBJ_M,W3,2024-2025,715.1,57,At/Above Benchmark
R0000037,STU00007,SUBJ_R,W1,2024-2025,410.9,7,Urgent Intervention
R0000038,STU00007,SUBJ_R,W2,2024-2025,475.5,3,Urgent Intervention
R0000039,STU00007,SUBJ_R,W3,2024-2025,567.0,26,On Watch
R0000040,STU00007,SUBJ_M,W1,2024-2025,577.0,28,On Watch
R0000041,STU00007,SUBJ_M,W2,2024-2025,658.4,40,At/Above Benchmark
R0000042,STU00007,SUBJ_M,W3,2024-2025,718.1,56,At/Above Benchmark
R0000043,STU00008,SUBJ_R,W1,2024-2025,452.8,41,At/Above Benchmark
R0000044,STU00008,SUBJ_R,W2,2024-2025,524.6,59,At/Above Benchmark
R0000045,STU00008,SUBJ_R,W3,2024-2025,542.0,60,At/Above Benchmark
R0000046,STU00008,SUBJ_M,W1,2024-2025,295.8,36,On Watch
R0000047,STU00008,SUBJ_M,W2,2024-2025,322.6,33,On Watch
R0000048,STU00008,SUBJ_M,W3,2024-2025,414.3,40,At/Above Benchmark
R0000049,STU00009,SUBJ_R,W1,2024-2025,781.1,63,At/Above Benchmark
R0000050,STU00009,SUBJ_R,W2,2024-2025,838.2,72,At/Above Benchmark
R0000051,STU00009,SUBJ_R,W3,2024-2025,883.0,86,At/Above Benchmark
R0000052,STU00009,SUBJ_M,W1,2024-2025,472.7,29,On Watch
R0000053,STU00009,SUBJ_M,W2,2024-2025,547.6,42,At/Above Benchmark
R0000054,STU00009,SUBJ_M,W3,2024-2025,552.9,40,At/Above Benchmark
R0000055,STU00010,SUBJ_R,W1,2024-2025,598.7,38,On Watch
R0000056,STU00010,SUBJ_R,W2,2024-2025,621.1,37,On Watch
R0000057,STU00010,SUBJ_R,W3,2024-2025,638.0,53,At/Above Benchmark
R0000058,STU00010,SUBJ_M,W1,2024-2025,490.9,28,On Watch
R0000059,STU00010,SUBJ_M,W2,2024-2025,514.5,42,At/Above Benchmark
R0000060,STU00010,SUBJ_M,W3,2024-2025,580.8,50,At/Above Benchmark
R0000061,STU00011,SUBJ_R,W1,2024-2025,112.8,14,Intervention
R0000062,STU00011,SUBJ_R,W2,2024-2025,152.6,24,Intervention
R0000063,STU00011,SUBJ_R,W3,2024-2025,198.9,20,Intervention
R0000064,STU00011,SUBJ_M,W1,2024-2025,393.7,68,At/Above Benchmark
R0000065,STU00011,SUBJ_M,W2,2024-2025,356.9,50,At/Above Benchmark
R0000066,STU00011,SUBJ_M,W3,2024-2025,290.6,37,On Watch
R0000067,STU00012,SUBJ_R,W1,2024-2025,568.9,58,At/Above Benchmark
R0000068,STU00012,SUBJ_R,W2,2024-2025,635.9,66,At/Above Benchmark
R0000069,STU00012,SUBJ_R,W3,2024-2025,763.3,88,At/Above Benchmark
R0000070,STU00012,SUBJ_M,W1,2024-2025,538.8,69,At/Above Benchmark
R0000071,STU00012,SUBJ_M,W2,2024-2025,566.1,72,At/Above Benchmark
R0000072,STU00012,SUBJ_M,W3,2024-2025,664.8,84,At/Above Benchmark
R0000073,STU00013,SUBJ_R,W1,2024-2025,348.3,56,At/Above Benchmark
R0000074,STU00013,SUBJ_R,W2,2024-2025,301.5,59,At/Above Benchmark
R0000075,STU00013,SUBJ_R,W3,2024-2025,289.0,55,At/Above Benchmark
R0000076,STU00013,SUBJ_M,W1,2024-2025,257.6,46,At/Above Benchmark
R0000077,STU00013,SUBJ_M,W2,2024-2025,291.1,53,At/Above Benchmark
R0000078,STU00013,SUBJ_M,W3,2024-2025,195.4,43,At/Above Benchmark
R0000079,STU00014,SUBJ_R,W1,2024-2025,423.4,67,At/Above Benchmark
R0000080,STU00014,SUBJ_R,W2,2024-2025,509.5,65,At/Above Benchmark
R0000081,STU00014,SUBJ_R,W3,2024-2025,564.9,77,At/Above Benchmark
R0000082,STU00014,SUBJ_M,W1,2024-2025,286.5,40,At/Above Benchmark
R0000083,STU00014,SUBJ_M,W2,2024-2025,333.1,50,At/Above Benchmark
R0000084,STU00014,SUBJ_M,W3,2024-2025,355.8,59,At/Above Benchmark
R0000085,STU00015,SUBJ_R,W1,2024-2025,262.7,24,Intervention
R0000086,STU00015,SUBJ_R,W2,2024-2025,349.0,40,At/Above Benchmark
R0000087,STU00015,SUBJ_R,W3,2024-2025,403.6,46,At/Above Benchmark
R0000088,STU00015,SUBJ_M,W1,2024-2025,455.5,45,At/Above Benchmark
R0000089,STU00015,SUBJ_M,W2,2024-2025,475.6,55,At/Above Benchmark
R0000090,STU00015,SUBJ_M,W3,2024-2025,489.9,61,At/Above Benchmark
R0000091,STU00016,SUBJ_R,W1,2024-2025,491.7,39,On Watch
R0000092,STU00016,SUBJ_R,W2,2024-2025,512.8,40,At/Above Benchmark
R0000093,STU00016,SUBJ_R,W3,2024-2025,545.6,46,At/Above Benchmark
R0000094,STU00016,SUBJ_M,W1,2024-2025,532.7,54,At/Above Benchmark
R0000095,STU00016,SUBJ_M,W2,2024-2025,579.3,62,At/Above Benchmark
R0000096,STU00016,SUBJ_M,W3,2024-2025,648.0,60,At/Above Benchmark
R0000097,STU00017,SUBJ_R,W1,2024-2025,849.7,79,At/Above Benchmark
R0000098,STU00017,SUBJ_R,W2,2024-2025,902.2,83,At/Above Benchmark
R0000099,STU00017,SUBJ_R,W3,2024-2025,979.8,98,At/Above Benchmark
R0000100,STU00017,SUBJ_M,W1,2024-2025,496.6,26,On Watch
R0000101,STU00017,SUBJ_M,W2,2024-2025,466.1,27,On Watch
R0000102,STU00017,SUBJ_M,W3,2024-2025,552.5,36,On Watch
R0000103,STU00018,SUBJ_R,W1,2024-2025,152.4,1,Urgent Intervention
R0000104,STU00018,SUBJ_R,W2,2024-2025,140.7,1,Urgent Intervention
R0000105,STU00018,SUBJ_R,W3,2024-2025,86.9,1,Urgent Intervention
R0000106,STU00018,SUBJ_M,W1,2024-2025,542.2,49,At/Above Benchmark
R0000107,STU00018,SUBJ_M,W2,2024-2025,611.5,63,At/Above Benchmark
R0000108,STU00018,SUBJ_M,W3,2024-2025,656.8,64,At/Above Benchmark
R0000109,STU00019,SUBJ_R,W1,2024-2025,360.2,43,At/Above Benchmark
R0000110,STU00019,SUBJ_R,W2,2024-2025,357.8,40,At/Above Benchmark
R0000111,STU00019,SUBJ_R,W3,2024-2025,412.7,33,On Watch
R0000112,STU00019,SUBJ_M,W1,2024-2025,286.9,28,On Watch
R0000113,STU00019,SUBJ_M,W2,2024-2025,339.5,31,On Watch
R0000114,STU00019,SUBJ_M,W3,2024-2025,403.6,46,At/Above Benchmark
R0000115,STU00020,SUBJ_R,W1,2024-2025,498.9,16,Intervention
R0000116,STU00020,SUBJ_R,W2,2024-2025,497.4,15,Intervention
R0000117,STU00020,SUBJ_R,W3,2024-2025,548.0,24,Intervention
R0000118,STU00020,SUBJ_M,W1,2024-2025,674.1,45,At/Above Benchmark
R0000119,STU00020,SUBJ_M,W2,2024-2025,711.4,52,At/Above Benchmark
R0000120,STU00020,SUBJ_M,W3,2024-2025,689.9,40,At/Above Benchmark
R0000121,STU00021,SUBJ_R,W1,2024-2025,420.5,55,At/Above Benchmark
R0000122,STU00021,SUBJ_R,W2,2024-2025,553.0,91,At/Above Benchmark
R0000123,STU00021,SUBJ_R,W3,2024-2025,609.8,89,At/Above Benchmark
R0000124,STU00021,SUBJ_M,W1,2024-2025,226.2,54,At/Above Benchmark
R0000125,STU00021,SUBJ_M,W2,2024-2025,304.2,53,At/Above Benchmark
R0000126,STU00021,SUBJ_M,W3,2024-2025,382.2,76,At/Above Benchmark
R0000127,STU00022,SUBJ_R,W1,2024-2025,419.0,62,At/Above Benchmark
R0000128,STU00022,SUBJ_R,W2,2024-2025,508.7,62,At/Above Benchmark
R0000129,STU00022,SUBJ_R,W3,2024-2025,568.2,82,At/Above Benchmark
R0000130,STU00022,SUBJ_M,W1,2024-2025,256.3,53,At/Above Benchmark
R0000131,STU00022,SUBJ_M,W2,2024-2025,327.6,52,At/Above Benchmark
R0000132,STU00022,SUBJ_M,W3,2024-2025,324.3,49,At/Above Benchmark
R0000133,STU00023,SUBJ_R,W1,2024-2025,229.1,41,At/Above Benchmark
R0000134,STU00023,SUBJ_R,W2,2024-2025,142.8,41,At/Above Benchmark
R0000135,STU00023,SUBJ_R,W3,2024-2025,91.7,18,Intervention
R0000136,STU00023,SUBJ_M,W1,2024-2025,129.5,31,On Watch
R0000137,STU00023,SUBJ_M,W2,2024-2025,193.8,43,At/Above Benchmark
R0000138,STU00023,SUBJ_M,W3,2024-2025,210.4,53,At/Above Benchmark
R0000139,STU00024,SUBJ_R,W1,2024-2025,265.4,48,At/Above Benchmark
R0000140,STU00024,SUBJ_R,W2,2024-2025,326.4,46,At/Above Benchmark
R0000141,STU00024,SUBJ_R,W3,2024-2025,417.6,70,At/Above Benchmark
R0000142,STU00024,SUBJ_M,W1,2024-2025,277.2,54,At/Above Benchmark
R0000143,STU00024,SUBJ_M,W2,2024-2025,308.2,55,At/Above Benchmark
R0000144,STU00024,SUBJ_M,W3,2024-2025,324.4,59,At/Above Benchmark
R0000145,STU00025,SUBJ_R,W1,2024-2025,493.7,13,Intervention
R0000146,STU00025,SUBJ_R,W2,2024-2025,574.9,25,On Watch
R0000147,STU00025,SUBJ_R,W3,2024-2025,633.1,31,On Watch
R0000148,STU00025,SUBJ_M,W1,2024-2025,681.0,33,On Watch
R0000149,STU00025,SUBJ_M,W2,2024-2025,697.0,53,At/Above Benchmark
R0000150,STU00025,SUBJ_M,W3,2024-2025,745.1,54,At/Above Benchmark
R0000151,STU00026,SUBJ_R,W1,2024-2025,689.5,82,At/Above Benchmark
R0000152,STU00026,SUBJ_R,W2,2024-2025,721.3,82,At/Above Benchmark
R0000153,STU00026,SUBJ_R,W3,2024-2025,736.7,76,At/Above Benchmark
R0000154,STU00026,SUBJ_M,W1,2024-2025,519.3,57,At/Above Benchmark
R0000155,STU00026,SUBJ_M,W2,2024-2025,487.2,52,At/Above Benchmark
R0000156,STU00026,SUBJ_M,W3,2024-2025,468.7,57,At/Above Benchmark
R0000157,STU00027,SUBJ_R,W1,2024-2025,222.0,42,At/Above Benchmark
R0000158,STU00027,SUBJ_R,W2,2024-2025,289.7,52,At/Above Benchmark
R0000159,STU00027,SUBJ_R,W3,2024-2025,347.7,61,At/Above Benchmark
R0000160,STU00027,SUBJ_M,W1,2024-2025,315.4,49,At/Above Benchmark
R0000161,STU00027,SUBJ_M,W2,2024-2025,326.9,58,At/Above Benchmark
R0000162,STU00027,SUBJ_M,W3,2024-2025,352.5,54,At/Above Benchmark
R0000163,STU00028,SUBJ_R,W1,2024-2025,408.7,49,At/Above Benchmark
R0000164,STU00028,SUBJ_R,W2,2024-2025,490.9,53,At/Above Benchmark
R0000165,STU00028,SUBJ_R,W3,2024-2025,564.6,56,At/Above Benchmark
R0000166,STU00028,SUBJ_M,W1,2024-2025,468.2,58,At/Above Benchmark
R0000167,STU00028,SUBJ_M,W2,2024-2025,539.0,65,At/Above Benchmark
R0000168,STU00028,SUBJ_M,W3,2024-2025,601.9,73,At/Above Benchmark
R0000169,STU00029,SUBJ_R,W1,2024-2025,344.5,51,At/Above Benchmark
R0000170,STU00029,SUBJ_R,W2,2024-2025,371.6,50,At/Above Benchmark
R0000171,STU00029,SUBJ_R,W3,2024-2025,457.6,65,At/Above Benchmark
R0000172,STU00029,SUBJ_M,W1,2024-2025,578.9,82,At/Above Benchmark
R0000173,STU00029,SUBJ_M,W2,2024-2025,593.1,81,At/Above Benchmark
R0000174,STU00029,SUBJ_M,W3,2024-2025,679.1,95,At/Above Benchmark
R0000175,STU00030,SUBJ_R,W1,2024-2025,732.4,57,At/Above Benchmark
R0000176,STU00030,SUBJ_R,W2,2024-2025,720.3,54,At/Above Benchmark
R0000177,STU00030,SUBJ_R,W3,2024-2025,748.2,57,At/Above Benchmark
R0000178,STU00030,SUBJ_M,W1,2024-2025,544.8,29,On Watch
R0000179,STU00030,SUBJ_M,W2,2024-2025,582.0,43,At/Above Benchmark
R0000180,STU00030,SUBJ_M,W3,2024-2025,668.2,49,At/Above Benchmark
R0000181,STU00031,SUBJ_R,W1,2024-2025,655.8,61,At/Above Benchmark
R0000182,STU00031,SUBJ_R,W2,2024-2025,627.2,55,At/Above Benchmark
R0000183,STU00031,SUBJ_R,W3,2024-2025,591.8,59,At/Above Benchmark
R0000184,STU00031,SUBJ_M,W1,2024-2025,602.7,54,At/Above Benchmark
R0000185,STU00031,SUBJ_M,W2,2024-2025,693.8,73,At/Above Benchmark
R0000186,STU00031,SUBJ_M,W3,2024-2025,783.4,92,At/Above Benchmark
R0000187,STU00032,SUBJ_R,W1,2024-2025,583.7,37,On Watch
R0000188,STU00032,SUBJ_R,W2,2024-2025,614.4,34,On Watch
R0000189,STU00032,SUBJ_R,W3,2024-2025,657.9,50,At/Above Benchmark
R0000190,STU00032,SUBJ_M,W1,2024-2025,612.4,49,At/Above Benchmark
R0000191,STU00032,SUBJ_M,W2,2024-2025,659.1,56,At/Above Benchmark
R0000192,STU00032,SUBJ_M,W3,2024-2025,647.3,54,At/Above Benchmark
R0000193,STU00033,SUBJ_R,W1,2024-2025,587.6,81,At/Above Benchmark
R0000194,STU00033,SUBJ_R,W2,2024-2025,628.3,89,At/Above Benchmark
R0000195,STU00033,SUBJ_R,W3,2024-2025,598.4,83,At/Above Benchmark
R0000196,STU00033,SUBJ_M,W1,2024-2025,346.9,54,At/Above Benchmark
R0000197,STU00033,SUBJ_M,W2,2024-2025,296.9,42,At/Above Benchmark
R0000198,STU00033,SUBJ_M,W3,2024-2025,420.7,60,At/Above Benchmark
R0000199,STU00034,SUBJ_R,W1,2024-2025,844.7,55,At/Above Benchmark
R0000200,STU00034,SUBJ_R,W2,2024-2025,879.8,64,At/Above Benchmark
R0000201,STU00034,SUBJ_R,W3,2024-2025,927.6,79,At/Above Benchmark
R0000202,STU00034,SUBJ_M,W1,2024-2025,740.6,63,At/Above Benchmark
R0000203,STU00034,SUBJ_M,W2,2024-2025,733.6,43,At/Above Benchmark
R0000204,STU00034,SUBJ_M,W3,2024-2025,841.6,66,At/Above Benchmark
R0000205,STU00035,SUBJ_R,W1,2024-2025,598.6,21,Intervention
R0000206,STU00035,SUBJ_R,W2,2024-2025,551.7,15,Intervention
R0000207,STU00035,SUBJ_R,W3,2024-2025,646.5,37,On Watch
R0000208,STU00035,SUBJ_M,W1,2024-2025,695.0,41,At/Above Benchmark
R0000209,STU00035,SUBJ_M,W2,2024-2025,758.0,54,At/Above Benchmark
R0000210,STU00035,SUBJ_M,W3,2024-2025,793.3,60,At/Above Benchmark
R0000211,STU00036,SUBJ_R,W1,2024-2025,779.7,72,At/Above Benchmark
R0000212,STU00036,SUBJ_R,W2,2024-2025,780.7,70,At/Above Benchmark
R0000213,STU00036,SUBJ_R,W3,2024-2025,782.0,66,At/Above Benchmark
R0000214,STU00036,SUBJ_M,W1,2024-2025,578.2,40,At/Above Benchmark
R0000215,STU00036,SUBJ_M,W2,2024-2025,594.5,43,At/Above Benchmark
R0000216,STU00036,SUBJ_M,W3,2024-2025,480.0,31,On Watch
R0000217,STU00037,SUBJ_R,W1,2024-2025,50.1,23,Intervention
R0000218,STU00037,SUBJ_R,W2,2024-2025,131.3,36,On Watch
R0000219,STU00037,SUBJ_R,W3,2024-2025,144.2,38,On Watch
R0000220,STU00037,SUBJ_M,W1,2024-2025,198.6,42,At/Above Benchmark
R0000221,STU00037,SUBJ_M,W2,2024-2025,218.4,55,At/Above Benchmark
R0000222,STU00037,SUBJ_M,W3,2024-2025,286.8,64,At/Above Benchmark
R0000223,STU00038,SUBJ_R,W1,2024-2025,206.2,25,On Watch
R0000224,STU00038,SUBJ_R,W2,2024-2025,317.7,36,On Watch
R0000225,STU00038,SUBJ_R,W3,2024-2025,362.3,46,At/Above Benchmark
R0000226,STU00038,SUBJ_M,W1,2024-2025,247.1,37,On Watch
R0000227,STU00038,SUBJ_M,W2,2024-2025,245.7,36,On Watch
R0000228,STU00038,SUBJ_M,W3,2024-2025,253.3,43,At/Above Benchmark
R0000229,STU00039,SUBJ_R,W1,2024-2025,451.2,55,At/Above Benchmark
R0000230,STU00039,SUBJ_R,W2,2024-2025,463.6,60,At/Above Benchmark
R0000231,STU00039,SUBJ_R,W3,2024-2025,370.0,43,At/Above Benchmark
R0000232,STU00039,SUBJ_M,W1,2024-2025,198.6,36,On Watch
R0000233,STU00039,SUBJ_M,W2,2024-2025,334.5,58,At/Above Benchmark
R0000234,STU00039,SUBJ_M,W3,2024-2025,358.9,56,At/Above Benchmark
R0000235,STU00040,SUBJ_R,W1,2024-2025,681.6,52,At/Above Benchmark
R0000236,STU00040,SUBJ_R,W2,2024-2025,682.2,59,At/Above Benchmark
R0000237,STU00040,SUBJ_R,W3,2024-2025,658.3,48,At/Above Benchmark
R0000238,STU00040,SUBJ_M,W1,2024-2025,713.5,64,At/Above Benchmark
R0000239,STU00040,SUBJ_M,W2,2024-2025,792.5,66,At/Above Benchmark
R0000240,STU00040,SUBJ_M,W3,2024-2025,828.5,78,At/Above Benchmark
R0000241,STU00041,SUBJ_R,W1,2024-2025,773.6,54,At/Above Benchmark
R0000242,STU00041,SUBJ_R,W2,2024-2025,777.0,48,At/Above Benchmark
R0000243,STU00041,SUBJ_R,W3,2024-2025,796.0,59,At/Above Benchmark
R0000244,STU00041,SUBJ_M,W1,2024-2025,752.9,53,At/Above Benchmark
R0000245,STU00041,SUBJ_M,W2,2024-2025,794.0,61,At/Above Benchmark
R0000246,STU00041,SUBJ_M,W3,2024-2025,796.3,54,At/Above Benchmark
R0000247,STU00042,SUBJ_R,W1,2024-2025,368.6,41,At/Above Benchmark
R0000248,STU00042,SUBJ_R,W2,2024-2025,385.0,33,On Watch
R0000249,STU00042,SUBJ_R,W3,2024-2025,406.7,43,At/Above Benchmark
R0000250,STU00042,SUBJ_M,W1,2024-2025,622.9,83,At/Above Benchmark
R0000251,STU00042,SUBJ_M,W2,2024-2025,617.0,76,At/Above Benchmark
R0000252,STU00042,SUBJ_M,W3,2024-2025,656.2,84,At/Above Benchmark
R0000253,STU00043,SUBJ_R,W1,2024-2025,626.6,48,At/Above Benchmark
R0000254,STU00043,SUBJ_R,W2,2024-2025,580.6,55,At/Above Benchmark
R0000255,STU00043,SUBJ_R,W3,2024-2025,563.1,31,On Watch
R0000256,STU00043,SUBJ_M,W1,2024-2025,554.5,40,At/Above Benchmark
R0000257,STU00043,SUBJ_M,W2,2024-2025,576.7,40,At/Above Benchmark
R0000258,STU00043,SUBJ_M,W3,2024-2025,501.7,27,On Watch
R0000259,STU00044,SUBJ_R,W1,2024-2025,792.7,51,At/Above Benchmark
R0000260,STU00044,SUBJ_R,W2,2024-2025,780.8,48,At/Above Benchmark
R0000261,STU00044,SUBJ_R,W3,2024-2025,820.7,61,At/Above Benchmark
R0000262,STU00044,SUBJ_M,W1,2024-2025,894.4,86,At/Above Benchmark
R0000263,STU00044,SUBJ_M,W2,2024-2025,890.7,75,At/Above Benchmark
R0000264,STU00044,SUBJ_M,W3,2024-2025,887.5,75,At/Above Benchmark
R0000265,STU00045,SUBJ_R,W1,2024-2025,622.7,69,At/Above Benchmark
R0000266,STU00045,SUBJ_R,W2,2024-2025,633.1,74,At/Above Benchmark
R0000267,STU00045,SUBJ_R,W3,2024-2025,581.0,72,At/Above Benchmark
R0000268,STU00045,SUBJ_M,W1,2024-2025,453.0,55,At/Above Benchmark
R0000269,STU00045,SUBJ_M,W2,2024-2025,545.8,54,At/Above Benchmark
R0000270,STU00045,SUBJ_M,W3,2024-2025,570.9,73,At/Above Benchmark
R0000271,STU00046,SUBJ_R,W1,2024-2025,637.0,63,At/Above Benchmark
R0000272,STU00046,SUBJ_R,W2,2024-2025,678.0,62,At/Above Benchmark
R0000273,STU00046,SUBJ_R,W3,2024-2025,708.0,62,At/Above Benchmark
R0000274,STU00046,SUBJ_M,W1,2024-2025,374.0,25,On Watch
R0000275,STU00046,SUBJ_M,W2,2024-2025,435.4,49,At/Above Benchmark
R0000276,STU00046,SUBJ_M,W3,2024-2025,528.5,56,At/Above Benchmark
R0000277,STU00047,SUBJ_R,W1,2024-2025,444.5,31,On Watch
R0000278,STU00047,SUBJ_R,W2,2024-2025,430.2,27,On Watch
R0000279,STU00047,SUBJ_R,W3,2024-2025,403.7,29,On Watch
R0000280,STU00047,SUBJ_M,W1,2024-2025,455.9,34,On Watch
R0000281,STU00047,SUBJ_M,W2,2024-2025,529.7,50,At/Above Benchmark
R0000282,STU00047,SUBJ_M,W3,2024-2025,532.6,47,At/Above Benchmark
R0000283,STU00048,SUBJ_R,W1,2024-2025,497.5,68,At/Above Benchmark
R0000284,STU00048,SUBJ_R,W2,2024-2025,524.0,67,At/Above Benchmark
R0000285,STU00048,SUBJ_R,W3,2024-2025,543.6,71,At/Above Benchmark
R0000286,STU00048,SUBJ_M,W1,2024-2025,361.0,45,At/Above Benchmark
R0000287,STU00048,SUBJ_M,W2,2024-2025,419.2,60,At/Above Benchmark
R0000288,STU00048,SUBJ_M,W3,2024-2025,458.0,64,At/Above Benchmark
R0000289,STU00049,SUBJ_R,W1,2024-2025,631.6,27,On Watch
R0000290,STU00049,SUBJ_R,W2,2024-2025,649.6,35,On Watch
R0000291,STU00049,SUBJ_R,W3,2024-2025,675.9,42,At/Above Benchmark
R0000292,STU00049,SUBJ_M,W1,2024-2025,753.8,60,At/Above Benchmark
R0000293,STU00049,SUBJ_M,W2,2024-2025,754.3,61,At/Above Benchmark
R0000294,STU00049,SUBJ_M,W3,2024-2025,701.3,61,At/Above Benchmark
R0000295,STU00050,SUBJ_R,W1,2024-2025,188.4,35,On Watch
R0000296,STU00050,SUBJ_R,W2,2024-2025,276.9,54,At/Above Benchmark
R0000297,STU00050,SUBJ_R,W3,2024-2025,355.7,56,At/Above Benchmark
R0000298,STU00050,SUBJ_M,W1,2024-2025,455.4,80,At/Above Benchmark
R0000299,STU00050,SUBJ_M,W2,2024-2025,417.4,76,At/Above Benchmark
R0000300,STU00050,SUBJ_M,W3,2024-2025,364.2,67,At/Above Benchmark
R0000301,STU00051,SUBJ_R,W1,2024-2025,779.7,76,At/Above Benchmark
R0000302,STU00051,SUBJ_R,W2,2024-2025,861.2,76,At/Above Benchmark
R0000303,STU00051,SUBJ_R,W3,2024-2025,888.1,77,At/Above Benchmark
R0000304,STU00051,SUBJ_M,W1,2024-2025,615.0,44,At/Above Benchmark
R0000305,STU00051,SUBJ_M,W2,2024-2025,705.2,73,At/Above Benchmark
R0000306,STU00051,SUBJ_M,W3,2024-2025,767.5,74,At/Above Benchmark
R0000307,STU00052,SUBJ_R,W1,2024-2025,267.2,34,On Watch
R0000308,STU00052,SUBJ_R,W2,2024-2025,390.5,48,At/Above Benchmark
R0000309,STU00052,SUBJ_R,W3,2024-2025,416.7,59,At/Above Benchmark
R0000310,STU00052,SUBJ_M,W1,2024-2025,455.5,62,At/Above Benchmark
R0000311,STU00052,SUBJ_M,W2,2024-2025,543.4,77,At/Above Benchmark
R0000312,STU00052,SUBJ_M,W3,2024-2025,533.7,73,At/Above Benchmark
R0000313,STU00053,SUBJ_R,W1,2024-2025,366.4,51,At/Above Benchmark
R0000314,STU00053,SUBJ_R,W2,2024-2025,353.3,56,At/Above Benchmark
R0000315,STU00053,SUBJ_R,W3,2024-2025,334.0,47,At/Above Benchmark
R0000316,STU00053,SUBJ_M,W1,2024-2025,136.8,24,Intervention
R0000317,STU00053,SUBJ_M,W2,2024-2025,212.5,32,On Watch
R0000318,STU00053,SUBJ_M,W3,2024-2025,206.9,33,On Watch
R0000319,STU00054,SUBJ_R,W1,2024-2025,454.0,44,At/Above Benchmark
R0000320,STU00054,SUBJ_R,W2,2024-2025,431.3,48,At/Above Benchmark
R0000321,STU00054,SUBJ_R,W3,2024-2025,386.7,33,On Watch
R0000322,STU00054,SUBJ_M,W1,2024-2025,364.9,38,On Watch
R0000323,STU00054,SUBJ_M,W2,2024-2025,346.9,35,On Watch
R0000324,STU00054,SUBJ_M,W3,2024-2025,388.4,46,At/Above Benchmark
R0000325,STU00055,SUBJ_R,W1,2024-2025,404.0,54,At/Above Benchmark
R0000326,STU00055,SUBJ_R,W2,2024-2025,371.8,58,At/Above Benchmark
R0000327,STU00055,SUBJ_R,W3,2024-2025,342.7,41,At/Above Benchmark
R0000328,STU00055,SUBJ_M,W1,2024-2025,398.3,63,At/Above Benchmark
R0000329,STU00055,SUBJ_M,W2,2024-2025,473.4,74,At/Above Benchmark
R0000330,STU00055,SUBJ_M,W3,2024-2025,495.3,71,At/Above Benchmark
R0000331,STU00056,SUBJ_R,W1,2024-2025,383.7,10,Intervention
R0000332,STU00056,SUBJ_R,W2,2024-2025,397.4,16,Intervention
